0,denevér,királynő,álom,kereszt,angyal,pohár,birka,béka,oszlop,üveg,majom,gyémánt,barát,indián,jogász,felhő,édes,szoknya,másol,görög
1,tüdő,hajó,másol,villa,szarv,szín,függ,pálya,műhold,szerencse,szív,körte,apró,kemény,tüske,anyag,szürke,képernyő,kormány,könnyű
2,atom,torony,kutya,taxi,vonal,üveg,kalóz,orvos,gyökér,erdő,szakács,gomb,pisztoly,bálna,indián,birka,színház,hotel,szürke,amazon
3,robot,levegő,labda,medve,banán,hold,lovag,oroszlán,alak,szél,szoknya,szerencse,szív,gyökér,fűszer,édes,indián,virág,narancs,csap
4,szellem,szív,jogász,bánya,szakács,kard,körte,cápa,puska,központ,part,láng,keret,bolt,lámpa,daru,pilóta,robot,bíró,föld
5,szellem,árnyék,lámpa,daru,színház,haza,kártya,cirkusz,koporsó,alak,birka,banda,kesztyű,puska,virág,méreg,fűszer,csillag,gumi,hideg
6,helikopter,labda,vezet,katona,jogász,levegő,tánc,alak,cipő,tudós,kocka,rózsa,baba,motor,mező,lámpa,tányér,taxi,forrás,kulcs
7,vitamin,amazon,vezet,cirkusz,féreg,szerencse,mese,képernyő,lovag,pont,kaszinó,szikra,bálna,szakács,csatorna,asztal,láng,függ,csizma,koncert
8,narancs,cápa,ajtó,ruha,üveg,fekete,óriás,teherautó,volt,meleg,tányér,szellem,papír,láda,rendőr,képernyő,kórház,indián,csillag,kerek
9,levél,álom,hold,villa,nyit,kutya,mező,labda,ügynök,szarv,kritikus,édes,kereszt,meleg,szakít,kocka,műanyag,lámpa,elem,tégla
10,lámpa,bomba,tanár,gazda,zseni,száj,daru,kesztyű,fűszer,határ,teherautó,egészség,tányér,hajt,másol,apró,sárkány,banda,tolvaj,labda
11,ajtó,part,oszt,távolság,pont,boszorkány,színház,hotel,majom,park,kenyér,katona,macska,fekete,barát,jegy,oszlop,olaj,hajt,zseni
12,mese,torta,betegség,cipő,sivatag,keret,másol,alma,hajt,tévé,nehéz,tüske,szén,kerek,gyűrű,vitamin,kesztyű,jogász,helikopter,láda
13,gumi,nyom,üveg,sötét,lovag,szám,daru,kerek,pohár,meleg,gyöngy,cipő,felhő,indián,robot,csavar,denevér,oszt,autó,papír
14,szakasz,ordít,rózsa,tüske,jegy,barát,másol,egészség,templom,ügyvéd,nyom,angyal,könnyű,halál,kocka,lélek,hercegnő,rakéta,orvos,macska
15,éjszaka,lovag,kard,angyal,meleg,repül,szék,csavar,levegő,gerinc,betegség,térkép,féreg,bánya,vitamin,templom,gitár,motor,arany,papír
16,levegő,másol,benzin,bálna,kutya,amazon,erdő,szemét,egér,láng,hatalom,stadion,sárkány,indián,hideg,szakács,tiszta,jegy,csillag,lámpa
17,templom,játék,görög,gyémánt,követ,milliomos,pont,bálna,szarv,banda,felhő,kölyök,haza,nyom,féreg,térkép,méreg,katona,forrás,kártya
18,leves,álom,sötét,haza,bolt,zebra,csizma,játék,banda,asztal,görög,tányér,kölyök,gyöngy,körte,toll,macska,szív,denevér,daru
19,forma,álom,tavasz,idegen,olaj,sajt,hullám,medve,sötét,helikopter,toll,egészség,bika,indián,nehéz,ruha,csiga,csavar,gumi,betegség
20,körte,kórház,kormány,tiszta,piramis,levegő,park,ajtó,szakács,nyit,hajó,csavar,arany,kerek,tavasz,hotel,csempész,szikra,ordít,követ
21,szarv,taxi,csiga,csatorna,jogász,tavasz,függ,szoknya,elem,macska,körte,szerencse,ügyvéd,barát,mozi,labda,mező,pénz,gazda,követ
22,gerinc,száj,banda,bolt,szoknya,mese,betegség,sötét,központ,banán,stadion,követ,anya,tavasz,labda,édes,természet,képernyő,tolvaj,nyom
23,opera,természet,szürke,vezet,bank,édes,pénz,alak,sötét,nyúl,bolt,hajt,hercegnő,királynő,tojás,oroszlán,kórház,tévé,narancs,gitár
24,mező,ruha,autó,térkép,volt,kártya,tiszta,fedél,tüske,lovag,ügynök,kereszt,alma,vonal,felhő,kenyér,baba,majom,tolvaj,élet
25,körte,bánya,csempész,indián,amazon,tüdő,gerinc,lámpa,ügynök,király,haza,háló,szerencse,ordít,mese,telefon,másol,meleg,csatorna,idegen
26,görög,tüske,szarv,tányér,oroszlán,törpe,műanyag,labda,oszlop,forma,nyom,szél,egér,bomba,tojás,kereszt,ruha,csap,pont,álom
27,jogász,palack,tányér,gyökér,négyzet,háló,medve,hotel,műhold,játék,óriás,vitamin,fekete,királynő,kulcs,stadion,tánc,tiszta,taxi,színház
28,tánc,amazon,arany,központ,féreg,tiszta,bánya,anya,egészség,háló,üveg,képernyő,szám,tojás,alma,vitamin,tévé,háború,rendőr,motor
