0;álmodik;2;mennyei;2;mennyei;3;szakértő;2;szakértő;3;gyerekkori;2;áldott;3;csókol;3;kígyó;3;gyermekkori;2;lélek;3;finom;2;álmodik;3;ügyvéd;3;kedves;2;;;;;;;;;;;;
1;kikötő;2;lélek;2;homlok;3;kastély;3;erőd;3;kúria;2;érsek;3;összetör;3;nyaraló;2;part;3;tenger;3;part;2;kegy;3;szegez;3;összetör;2;;;;;;;;;;;;
2;bennszülött;2;dzsungel;3;sivatag;3;előadás;2;előadás;3;trópusi;3;legelő;2;trópusi;2;bennszülött;3;;;;;;;;;;;;;;;;;;;;;;;;
3;kard;2;harcos;3;nemzetiségi;2;nemzetiségi;3;mitológia;3;szőlő;3;citrom;2;kultúra;3;törzs;2;citrom;3;sárkány;2;alma;2;hódító;2;alma;3;király;2;hódító;3;;;;;;;;;;
4;közlekedési;2;szegez;3;pisztoly;2;lebeg;3;fegyver;3;fegyver;2;páncél;3;szörny;3;létezik;2;létezik;3;pisztoly;3;;;;;;;;;;;;;;;;;;;;
5;produkció;3;fellép;3;társulat;3;társulat;2;zenekar;3;fickó;3;szimfonikus;2;előadás;3;zenekar;2;galamb;3;téli;2;;;;;;;;;;;;;;;;;;;;
6;szelet;3;virág;2;paradicsom;3;szelet;2;alma;3;kanál;2;tészta;2;burgonya;3;hengeres;2;vágott;3;termeszt;3;termeszt;2;hagyma;3;virág;3;mosogató;2;;;;;;;;;;;;
7;előadás;2;musical;3;produkció;2;zenés;3;zenés;2;hangverseny;3;hangverseny;2;szakközépiskola;3;esti;2;máltai;2;eljátszik;3;esti;3;zenekar;2;fellép;2;eljátszik;2;produkció;3;;;;;;;;;;
8;alezredes;2;demokratikus;2;száraz;3;forró;3;ragasztó;2;hideg;2;hideg;3;karton;2;lényeg;3;kijelző;3;dobál;2;elfog;2;elfog;3;bűnös;3;elismer;3;;;;;;;;;;;;
9;álmodozik;3;álmodik;3;forró;3;forró;2;kanál;3;kapu;3;puha;3;illat;2;megrendezés;2;élmény;3;kapu;2;;;;;;;;;;;;;;;;;;;;
10;professzor;2;pszichológia;3;gonosz;2;pszichológiai;3;elméleti;2;titokzatos;3;oktat;3;mester;3;papucs;3;ellop;2;gonosz;3;bevetés;2;katonai;3;ellop;3;művészettörténész;2;oktat;2;semmisít;3;;;;;;;;
11;farkas;3;állat;2;tehetséges;2;fiatal;3;kutya;3;nemzeti;2;farok;3;nőstény;3;fehér;2;kutya;2;patkány;2;patkány;3;róka;3;;;;;;;;;;;;;;;;
12;lezuhan;2;kalandos;3;érrendszeri;2;csónak;3;szikla;3;hegy;2;pszichés;3;stressz;3;immunrendszer;2;krónikus;3;köves;3;pótol;2;megbetegedés;2;könnyű;3;pótol;3;karkötő;2;;;;;;;;;;
13;traktor;2;lyukas;3;fenék;2;lábbeli;2;traktor;3;motorkerékpár;2;infrastruktúra;3;emel;2;terepjáró;3;ered;2;kocsi;2;kocsi;3;jármű;3;jármű;2;kerékpár;3;platform;2;őslakos;2;;;;;;;;
14;szent;3;evangélium;3;megvált;3;jeruzsálemi;3;városrész;2;egyház;3;hozzáad;2;isten;3;imádkozik;3;isten;2;korai;2;;;;;;;;;;;;;;;;;;;;
15;henger;2;parazita;3;immunrendszer;2;kerék;3;megbetegedés;2;szelep;3;konzultál;2;vírus;3;fertőző;2;fertőzés;2;henger;3;szelep;2;ének;2;;;;;;;;;;;;;;;;
16;vallás;2;őslakos;2;föld;3;birodalom;3;gonosz;2;császár;3;sivatag;3;trópusi;3;gonosz;3;mitológia;2;bennszülött;2;vallás;3;vörös;2;trópusi;2;;;;;;;;;;;;;;
17;vezényel;3;vezényel;2;trió;3;trió;2;rózsaszín;2;rózsaszín;3;ragyog;3;nőstény;2;hangszeres;3;játszik;3;játszik;2;hófehér;2;hófehér;3;homlok;2;;;;;;;;;;;;;;
18;csillagász;2;téli;3;barlang;2;barna;3;polc;2;olasz;2;éjszaka;3;alvó;2;álmodik;3;hófehér;3;fekete;2;árny;3;árny;2;politikai;2;álmodik;2;politikai;3;hófehér;2;magyar;3;nyugati;3;magyar;2;;
19;krém;3;anyanyelvű;2;lágy;3;bors;2;citrom;3;lágy;2;parfüm;3;fűszer;3;nyelv;2;váltó;3;acél;3;rizs;2;könnyű;3;cipő;3;szappan;3;fűszer;2;;;;;;;;;;
20;izzó;3;törölköző;2;ápolt;3;könyvkiadó;3;tábori;2;nyel;3;hideg;2;hideg;3;érrendszeri;3;leves;2;üvölt;2;krumpli;2;üvölt;3;remeg;2;ápoló;3;torok;3;harag;2;forró;3;érrendszeri;2;égési;2;környezet;3
21;négylábú;3;lány;3;lány;2;rajongó;2;rajongó;3;kutya;2;kutya;3;hűséges;3;haver;3;;;;;;;;;;;;;;;;;;;;;;;;
22;nadrág;2;hófehér;3;velejáró;2;nadrág;3;hófehér;2;nyár;2;fekete;3;lassú;3;kattint;2;formáció;2;formáció;3;folt;2;kabát;3;kattint;3;fekete;2;vagány;3;;;;;;;;;;
23;sajt;2;sajt;3;hegedű;3;hangszer;3;zongora;2;hangszeres;2;költ;2;milánói;3;milánói;2;citrom;2;dobál;3;alapfokú;3;formáz;3;burgonya;2;;;;;;;;;;;;;;
24;jármű;3;forgalmi;3;díjmentes;2;készülék;3;máltai;2;kocsi;2;kocsi;3;sima;3;távolsági;2;távolsági;3;busz;2;közlekedik;2;rajzol;3;ívelt;3;;;;;;;;;;;;;;
25;üvölt;2;lapos;3;hideg;3;üdítő;3;főtt;2;forró;2;üvölt;3;androidos;3;csípő;2;szendvics;3;fűszeres;3;androidos;2;hideg;2;cseng;2;rohadt;3;;;;;;;;;;;;
26;támogatási;2;bekezdés;3;tészta;2;főtt;3;pattan;3;főtt;2;dobál;3;tálal;3;húsos;3;kanál;3;kagyló;3;;;;;;;;;;;;;;;;;;;;
27;zenés;3;szépséges;3;vörös;2;hagyomány;2;hófehér;2;népzene;3;színpadi;3;balett;2;keringő;2;keringő;3;balett;3;fehér;2;fehér;3;produkció;3;;;;;;;;;;;;;;
28;asszony;3;lány;2;meggyilkol;3;várandós;2;kihallgatás;3;ásványi;2;édes;3;táplálkozás;2;katonaság;3;várandós;3;magzat;3;báty;3;fegyveres;2;;;;;;;;;;;;;;;;
29;alja;2;fehér;3;puha;3;beton;2;építmény;3;szikla;3;domb;3;alja;3;felújítás;3;szór;2;épít;3;ropogós;3;műsor;2;mező;2;keringő;2;;;;;;;;;;;;
30;alakulás;3;kecske;2;szarvasmarha;3;kecske;3;öngyilkosság;3;kacsa;3;marha;2;marha;3;kakas;3;gyapjú;2;szarvasmarha;2;disznó;2;állat;3;közölt;2;közzétett;3;;;;;;;;;;;;
31;tányér;3;professzor;2;halmaz;3;szakos;3;professzor;3;egyetemi;2;halmaz;2;rátesz;3;vegán;2;leves;2;egyetemi;3;;;;;;;;;;;;;;;;;;;;
32;étrend;3;ránt;2;ránt;3;tányér;2;sült;3;saláta;2;főtt;2;saláta;3;rizs;3;szendvics;3;túró;3;étrend;2;;;;;;;;;;;;;;;;;;
33;örmény;2;burkolat;3;alkatrész;2;szicíliai;2;kerék;3;motor;2;nyelvű;2;bizánci;2;elüt;2;anyanyelvű;3;kocsi;2;kocsi;3;műanyag;2;kerék;2;ókori;2;gyári;3;;;;;;;;;;
34;völgy;2;domb;2;domb;3;homokos;3;fogyaszt;3;krémes;2;mocsár;3;citrom;2;völgy;3;hegy;3;grand;2;csokoládé;3;;;;;;;;;;;;;;;;;;
35;bemegy;3;bites;2;intézmény;3;intézmény;2;szimbolizál;3;centrum;3;nyit;2;nyit;3;sima;3;bezár;3;fehér;3;fehér;2;rózsaszín;2;;;;;;;;;;;;;;;;
36;akusztikus;2;kísér;3;kórus;3;ének;3;zenekar;3;anya;3;zenekar;2;szimfonikus;2;zeneművészeti;3;anyuka;3;;;;;;;;;;;;;;;;;;;;;;
37;fényszóró;2;kerék;3;gumi;3;szerelvény;3;utcai;3;szerelt;2;váltó;3;szerel;2;show;3;kerék;2;szimfonikus;2;hófehér;3;kocsi;3;szimfonikus;3;;;;;;;;;;;;;;
