sessionid,tablaid,utalasid,kezdes,befejezes,tipp,tipp1,tipp2,tipp3,tipp4,tipp5,tipp6,tipp7,tipp8,tipp9,tipp10,tipp11,tipp12
539F9E475FAF9E317C355C5ED1DA562E,20,5,2022-02-20 22:03:27.465,2022-02-20 22:03:43.574,3,szakács,körte,ordít,,,,,,,,,
719239499282310FA24BB73B8E542583,5,4,2022-02-20 22:20:52.457,2022-02-20 22:21:19.913,3,banda,színház,csillag,,,,,,,,,
719239499282310FA24BB73B8E542583,48,7,2022-02-20 22:21:23.352,2022-02-20 22:22:22.935,3,gomb,tévé,kritikus,,,,,,,,,
719239499282310FA24BB73B8E542583,45,7,2022-02-20 22:22:25.506,2022-02-20 22:23:20.498,3,háló,kemény,asztal,,,,,,,,,
719239499282310FA24BB73B8E542583,58,4,2022-02-20 22:23:24.419,2022-02-20 22:26:24.707,2,kártya,csatorna,,,,,,,,,,
719239499282310FA24BB73B8E542583,16,3,2022-02-20 22:26:26.455,2022-02-20 22:27:40.853,3,hatalom,indián,sárkány,,,,,,,,,
719239499282310FA24BB73B8E542583,14,0,2022-02-20 22:27:44.467,2022-02-20 22:28:10.822,3,angyal,halál,lélek,,,,,,,,,
719239499282310FA24BB73B8E542583,99,2,2022-02-20 22:28:14.303,2022-02-20 22:28:41.086,3,lovag,szoknya,pénz,,,,,,,,,
719239499282310FA24BB73B8E542583,47,11,2022-02-20 22:28:44.192,2022-02-20 22:29:33.018,3,pálya,szakasz,kocka,,,,,,,,,
719239499282310FA24BB73B8E542583,54,10,2022-02-20 22:29:35.523,2022-02-20 22:30:07.81,2,alak,kulcs,,,,,,,,,,
719239499282310FA24BB73B8E542583,72,5,2022-02-20 22:30:09.404,2022-02-20 22:30:36.087,3,sötét,narancs,lámpa,,,,,,,,,
719239499282310FA24BB73B8E542583,24,3,2022-02-20 22:30:37.971,2022-02-20 22:31:44.622,3,autó,fedél,vonal,,,,,,,,,
B4E123FC2C10D1CF031D9B3164EFF170,46,7,2022-02-20 22:32:37.626,2022-02-20 22:33:13.885,3,királynő,király,pénz,,,,,,,,,
B4E123FC2C10D1CF031D9B3164EFF170,6,14,2022-02-20 22:33:15.93,2022-02-20 22:34:01.297,2,tányér,kocka,,,,,,,,,,
B4E123FC2C10D1CF031D9B3164EFF170,20,10,2022-02-20 22:34:07.14,2022-02-20 22:34:30.566,2,ordít,levegő,,,,,,,,,,
B4E123FC2C10D1CF031D9B3164EFF170,94,2,2022-02-20 22:34:32.122,2022-02-20 22:34:48.756,2,repül,torony,,,,,,,,,,
244A065BAF4B0135BB867323F84FB124,42,4,2022-02-20 22:36:33.499,2022-02-20 22:37:18.187,2,medve,bika,,,,,,,,,,
244A065BAF4B0135BB867323F84FB124,83,12,2022-02-20 22:38:11.517,2022-02-20 22:38:32.858,2,vitamin,forrás,,,,,,,,,,
244A065BAF4B0135BB867323F84FB124,90,5,2022-02-20 22:38:34.888,2022-02-20 22:39:02.388,3,birka,boszorkány,sötét,,,,,,,,,
244A065BAF4B0135BB867323F84FB124,13,13,2022-02-20 22:39:04.627,2022-02-20 22:39:26.903,3,gumi,autó,nyom,,,,,,,,,
244A065BAF4B0135BB867323F84FB124,61,5,2022-02-20 22:39:30.243,2022-02-20 22:40:15.403,3,forrás,kenyér,hotel,,,,,,,,,
244A065BAF4B0135BB867323F84FB124,44,5,2022-02-20 22:40:17.076,2022-02-20 22:40:56.162,2,szellem,király,,,,,,,,,,
244A065BAF4B0135BB867323F84FB124,65,3,2022-02-20 22:41:00.172,2022-02-20 22:41:38.409,3,négyzet,kocka,sajt,,,,,,,,,
244A065BAF4B0135BB867323F84FB124,53,0,2022-02-20 22:41:40.217,2022-02-20 22:41:59.874,2,szakasz,vonal,,,,,,,,,,
244A065BAF4B0135BB867323F84FB124,64,8,2022-02-20 22:42:01.442,2022-02-20 22:42:25.211,2,ruha,szarv,,,,,,,,,,
244A065BAF4B0135BB867323F84FB124,88,10,2022-02-20 22:42:26.982,2022-02-20 22:42:51.955,3,láng,sötét,árnyék,,,,,,,,,
6A9DD49F011D4086C9237054936A3B75,60,12,2022-02-20 22:43:10.981,2022-02-20 22:43:59.61,3,leves,kemény,pont,,,,,,,,,
6A9DD49F011D4086C9237054936A3B75,5,1,2022-02-20 22:44:01.363,2022-02-20 22:45:13.066,3,színház,csillag,cirkusz,,,,,,,,,
6A9DD49F011D4086C9237054936A3B75,81,2,2022-02-20 22:45:15.22,2022-02-20 22:45:34.888,3,sárkány,hatalom,lélek,,,,,,,,,
6A9DD49F011D4086C9237054936A3B75,86,6,2022-02-20 22:45:36.482,2022-02-20 22:45:49.843,2,pisztoly,kard,,,,,,,,,,
6A9DD49F011D4086C9237054936A3B75,57,2,2022-02-20 22:45:52.013,2022-02-20 22:48:31.739,3,torony,anyag,hotel,,,,,,,,,
6A9DD49F011D4086C9237054936A3B75,64,11,2022-02-20 22:48:33.991,2022-02-20 22:49:05.454,3,szarv,bika,vonal,,,,,,,,,
6A9DD49F011D4086C9237054936A3B75,67,9,2022-02-20 22:49:08.431,2022-02-20 22:49:24.228,2,helikopter,rakéta,,,,,,,,,,
6A9DD49F011D4086C9237054936A3B75,72,5,2022-02-20 22:49:25.84,2022-02-20 22:49:46.696,3,sötét,lámpa,narancs,,,,,,,,,
6A9DD49F011D4086C9237054936A3B75,45,5,2022-02-20 22:49:48.227,2022-02-20 22:50:00.578,2,asztal,kerek,,,,,,,,,,
6A9DD49F011D4086C9237054936A3B75,65,7,2022-02-20 22:50:10.389,2022-02-20 22:50:45.514,4,kórház,zebra,oroszlán,kutya,,,,,,,,
6A9DD49F011D4086C9237054936A3B75,95,10,2022-02-20 22:50:51.61,2022-02-20 22:51:41.133,3,király,királynő,milliomos,,,,,,,,,
6A9DD49F011D4086C9237054936A3B75,68,3,2022-02-20 22:51:45.516,2022-02-20 22:52:36.049,3,cápa,kölyök,barát,,,,,,,,,
6A9DD49F011D4086C9237054936A3B75,22,4,2022-02-20 22:52:37.509,2022-02-20 22:53:23.393,2,édes,szoknya,,,,,,,,,,
6A9DD49F011D4086C9237054936A3B75,29,1,2022-02-20 22:53:25.322,2022-02-20 22:53:48.212,3,kenyér,homok,csillag,,,,,,,,,
6A9DD49F011D4086C9237054936A3B75,84,14,2022-02-20 22:53:49.798,2022-02-20 22:53:57.23,2,király,rózsa,,,,,,,,,,
6A9DD49F011D4086C9237054936A3B75,3,10,2022-02-20 22:53:59.141,2022-02-20 22:54:31.849,2,lovag,medve,,,,,,,,,,
E697D4CCA88531BA2C94055DE362B50F,88,0,2022-02-21 05:46:11.974,2022-02-21 05:46:24.37,2,sötét,árnyék,,,,,,,,,,
E697D4CCA88531BA2C94055DE362B50F,27,9,2022-02-21 05:46:34.117,2022-02-21 05:46:51.677,3,játék,színház,tánc,,,,,,,,,
