index,sessionid,tablaid,utalasid,kezdes,befejezes,tipp,tipp1,tipp2,tipp3,tipp4,tipp5,tipp6,tipp7,tipp8,tipp9,tipp10,tipp11,tipp12
0,FCFD63C305DC0652DF51EE41342915D6,10,1,2021-11-10 06:15:13.422,2021-11-10 06:18:04.253,2,kocka,szél,,,,,,,,,,
1,FCFD63C305DC0652DF51EE41342915D6,23,3,2021-11-10 06:18:08.256,2021-11-10 06:21:42.068,5,taxi,kormány,királynő,hercegnő,iskola,,,,,,,
2,FCFD63C305DC0652DF51EE41342915D6,43,8,2021-11-10 06:22:08.365,2021-11-10 06:22:45.289,3,szakács,tudós,lovag,,,,,,,,,
3,FCFD63C305DC0652DF51EE41342915D6,5,0,2021-11-10 06:23:06.191,2021-11-10 06:26:08.907,5,barát,jogász,orvos,robot,kórház,,,,,,,
4,FCFD63C305DC0652DF51EE41342915D6,14,8,2021-11-10 06:26:16.807,2021-11-10 06:26:40.106,3,figura,tanár,pálya,,,,,,,,,
5,FCFD63C305DC0652DF51EE41342915D6,54,5,2021-11-10 06:27:00.263,2021-11-10 06:27:44.405,3,koporsó,rózsa,lélek,,,,,,,,,
6,FCFD63C305DC0652DF51EE41342915D6,46,7,2021-11-10 06:28:09.07,2021-11-10 06:28:26.8,2,labda,torta,,,,,,,,,,
7,FCFD63C305DC0652DF51EE41342915D6,56,7,2021-11-10 06:28:30.342,2021-11-10 06:32:15.054,2,kaszinó,pénz,,,,,,,,,,
8,FCFD63C305DC0652DF51EE41342915D6,26,4,2021-11-10 06:32:18.357,2021-11-10 06:33:05.36,2,csavar,barát,,,,,,,,,,
9,3053D1AD5A2D3F240570E28592BC2357,73,7,2021-11-10 07:34:53.685,2021-11-10 07:35:15.016,2,gyöngy,lyuk,,,,,,,,,,
10,3053D1AD5A2D3F240570E28592BC2357,12,0,2021-11-10 07:36:17.125,2021-11-10 07:36:29.915,4,macska,bika,ügynök,haza,,,,,,,,
11,73B9A964AA1BB52FD12646723E307F60,18,2,2021-11-10 08:43:48.848,2021-11-10 08:44:15.123,3,föld,hideg,szem,,,,,,,,,
12,73B9A964AA1BB52FD12646723E307F60,64,3,2021-11-10 08:44:19.175,2021-11-10 08:45:08.93,5,térkép,nyom,fedél,természet,elem,,,,,,,
13,73B9A964AA1BB52FD12646723E307F60,37,8,2021-11-10 08:45:13.96,2021-11-10 08:46:25.015,3,harang,meleg,zebra,,,,,,,,,
14,73B9A964AA1BB52FD12646723E307F60,33,7,2021-11-10 08:46:27.984,2021-11-10 08:47:12.419,2,követ,pénz,,,,,,,,,,
15,E390A893F29FF5D858E6803272C6FFBF,1,4,2021-11-10 13:18:35.806,2021-11-10 13:19:12.733,2,hideg,virág,,,,,,,,,,
16,722CA182F9E56C41347B0FA609CFFDC1,55,4,2021-11-10 13:21:39.456,2021-11-10 13:22:14.239,2,álom,denevér,,,,,,,,,,
17,722CA182F9E56C41347B0FA609CFFDC1,40,1,2021-11-10 13:22:21.089,2021-11-10 13:23:37.36,2,kulcs,egyenes,,,,,,,,,,
18,722CA182F9E56C41347B0FA609CFFDC1,40,1,2021-11-10 13:22:21.089,2021-11-10 13:24:44.884,2,kulcs,egyenes,,,,,,,,,,
19,722CA182F9E56C41347B0FA609CFFDC1,40,1,2021-11-10 13:22:21.089,2021-11-10 13:24:54.298,2,kulcs,egyenes,,,,,,,,,,
20,000BFB801C2393E58489EB2F92B54426,12,8,2021-11-10 13:22:23.032,2021-11-10 13:23:27.676,3,macska,villa,csavar,,,,,,,,,
21,000BFB801C2393E58489EB2F92B54426,97,7,2021-11-10 13:23:48.828,2021-11-10 13:24:23.758,2,csempész,határ,,,,,,,,,,
22,000BFB801C2393E58489EB2F92B54426,95,6,2021-11-10 13:24:27.367,2021-11-10 13:26:30.007,5,egér,ajtó,tévé,cipő,csizma,,,,,,,
23,722CA182F9E56C41347B0FA609CFFDC1,72,4,2021-11-10 13:25:31.195,2021-11-10 13:25:51.954,2,jogász,kormány,,,,,,,,,,
24,722CA182F9E56C41347B0FA609CFFDC1,51,7,2021-11-10 13:25:52.545,2021-11-10 13:26:19.705,2,egér,gazda,,,,,,,,,,
25,722CA182F9E56C41347B0FA609CFFDC1,17,6,2021-11-10 13:26:23.045,2021-11-10 13:27:01.328,4,gyémánt,robot,lovag,világos,,,,,,,,
26,000BFB801C2393E58489EB2F92B54426,81,6,2021-11-10 13:26:34.98,2021-11-10 13:27:33.494,4,pálya,függ,kemény,keret,,,,,,,,
27,722CA182F9E56C41347B0FA609CFFDC1,9,2,2021-11-10 13:27:03.862,2021-11-10 13:27:36.31,3,benzin,játék,telefon,,,,,,,,,
