sessionid,tablaid,utalasid,kezdes,befejezes,tipp,tipp1,tipp2,tipp3,tipp4,tipp5,tipp6,tipp7,tipp8,tipp9,tipp10,tipp11,tipp12
804422422A990DD24BBF130E5ABAECB2,93,0,2022-01-05 06:23:47.285,2022-01-05 06:24:15.369,5,király,udvar,ruha,háború,kalóz,,,,,,,
52A4AB30FD2150F42115728110CDBCBD,60,0,2022-01-05 08:03:56.965,2022-01-05 08:05:03.99,5,egyenes,banán,árnyék,alak,szerencse,,,,,,,
52A4AB30FD2150F42115728110CDBCBD,83,0,2022-01-05 08:05:13.088,2022-01-05 08:05:40.661,4,háború,villa,szellem,föld,,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,73,0,2022-01-05 08:30:14.744,2022-01-05 08:31:50.262,5,forma,élet,kaszinó,gyűrű,piramis,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,5,0,2022-01-05 08:32:00.289,2022-01-05 08:33:27.531,3,barát,ajtó,jogász,,,,,,,,,
7C65595A171AC5362351AECA5FF250B8,0,0,2022-01-05 08:33:14.632,2022-01-05 08:35:16.005,5,csatorna,puska,nyúl,tüdő,száj,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,35,0,2022-01-05 08:33:35.954,2022-01-05 08:34:13.64,3,papír,jegy,forma,,,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,39,0,2022-01-05 08:34:17.008,2022-01-05 08:34:53.023,4,lovag,rendőr,ügyvéd,haza,,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,30,0,2022-01-05 08:35:00.727,2022-01-05 08:35:52.522,4,cirkusz,koncert,benzin,pilóta,,,,,,,,
7C65595A171AC5362351AECA5FF250B8,1,0,2022-01-05 08:35:32.44,2022-01-05 08:36:22.052,6,gitár,szék,kereszt,virág,képernyő,tábla,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,72,0,2022-01-05 08:35:58.87,2022-01-05 08:36:47.315,3,tiszta,olaj,zöld,,,,,,,,,
7C65595A171AC5362351AECA5FF250B8,97,0,2022-01-05 08:36:31.202,2022-01-05 08:51:57.646,5,csempész,kalóz,törpe,cirkusz,csokoládé,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,9,0,2022-01-05 08:36:49.711,2022-01-05 08:38:00.001,4,boszorkány,idegen,sivatag,követ,,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,56,0,2022-01-05 08:38:03.987,2022-01-05 08:39:06.642,5,kemény,gyökér,kesztyű,indián,anyag,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,17,0,2022-01-05 08:39:17.575,2022-01-05 08:40:06.029,4,gyémánt,lovag,élet,sárkány,,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,38,0,2022-01-05 08:40:08.414,2022-01-05 08:41:17.441,6,piramis,volt,opera,színház,hajó,puska,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,79,0,2022-01-05 08:41:29.992,2022-01-05 08:42:39.09,6,száj,felhő,tüdő,csillag,ordít,természet,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,70,0,2022-01-05 08:42:45.53,2022-01-05 08:44:22.789,5,asztal,szakács,műanyag,pilóta,olaj,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,54,0,2022-01-05 08:44:25.697,2022-01-05 08:45:46.844,5,leves,homok,kréta,tető,koporsó,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,59,0,2022-01-05 08:45:49.479,2022-01-05 08:46:30.754,4,kerek,birka,lélek,csomó,,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,26,0,2022-01-05 08:46:33.025,2022-01-05 08:46:58.604,3,zseni,görög,műhold,,,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,71,0,2022-01-05 08:47:09.03,2022-01-05 08:48:14.517,5,élet,katona,lyuk,levegő,macska,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,86,0,2022-01-05 08:48:17.995,2022-01-05 08:50:35.842,4,fekete,törpe,alak,pohár,,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,40,0,2022-01-05 08:50:39.846,2022-01-05 08:51:12.972,4,szakács,természet,udvar,tavasz,,,,,,,,
