tabla_id;robot_id;szo;szam;1;2;3;4;5;6;7;8
0;0;információs;5;vonal;csatorna;tányér;csomó;tüdő;;;
1;0;megbeszél;7;orvos;ügyvéd;szakít;csiga;szék;hideg;gitár;
2;0;aktivál;6;levél;harang;fekete;benzin;kártya;cápa;;
3;0;szertartás;3;harang;templom;tánc;;;;;
4;0;csajos;4;kocka;hercegnő;cipő;csöpp;;;;
5;0;felkér;5;stadion;opera;levegő;jogász;nyom;;;
6;0;kapus;3;háló;bomba;kesztyű;;;;;
7;0;érrendszeri;5;műhold;betegség;szív;kalóz;gyökér;;;
8;0;győzelmi;4;oszlop;torony;árnyék;virág;;;;
9;0;megjósol;3;boszorkány;mező;nehéz;;;;;
10;0;környezet;6;gyémánt;part;meleg;szem;zöld;gitár;;
11;0;ifjúság;4;édes;oroszlán;kutya;homok;;;;
12;0;tenyésztő;4;bika;gazda;körte;macska;;;;
13;0;egyesülés;7;pálya;csempész;szén;atom;koporsó;szikra;daru;
14;0;mitikus;4;nyit;figura;tánc;sárkány;;;;
15;0;spórol;5;levegő;üveg;tégla;csomó;szikra;;;
16;0;bead;4;labda;kulcs;ügynök;bálna;;;;
17;0;legenda;4;rózsa;sárkány;szél;lovag;;;;
18;0;mínusz;4;pont;levegő;kemény;hideg;;;;
19;0;szakíró;3;denevér;tanár;toll;;;;;
20;0;káros;5;műanyag;hullám;bánya;tüdő;csillag;;;
21;0;létesít;6;erdő;telefon;négyzet;görög;csöpp;park;;
22;0;jubileum;3;ruha;jegy;kerek;;;;;
23;0;brit;5;hajó;pilóta;királynő;hercegnő;kormány;;;
24;0;oroszlán;4;zebra;boszorkány;ordít;kölyök;;;;
25;0;köztársaság;5;robot;hullám;boszorkány;kereszt;leves;;;
26;0;tartás;4;gazda;oszt;koncert;macska;;;;
27;0;dohányzó;4;tévé;csempész;hotel;szék;;;;
28;0;közlekedési;6;cirkusz;betegség;pilóta;kritikus;tüdő;homok;;
29;0;feszes;5;pohár;puska;alak;cipő;kerek;;;
30;0;beszed;4;cirkusz;láda;mese;vitamin;;;;
31;0;felhőkarcoló;4;árnyék;torta;hatalom;atom;;;;
32;0;tetőszerkezet;4;lyuk;templom;láda;láng;;;;
33;0;felkutat;4;láda;kard;kalóz;gyökér;;;;
34;0;tiszti;5;iskola;pisztoly;asztal;kard;zseni;;;
35;0;valósul;5;édes;vezet;forrás;forma;autó;;;
36;0;elhárítás;4;helikopter;ügynök;egészség;távolság;;;;
37;0;szurkol;4;harang;nyit;szív;bánya;;;;
38;0;csupasz;5;hajó;puska;csiga;béka;tüdő;;;
39;0;tábornok;5;rendőr;háború;hercegnő;bolt;lovag;;;
40;0;megbízható;6;nyit;szakács;orvos;arany;kutya;mező;;
41;0;elrejtett;6;pisztoly;csatorna;erdő;helikopter;koporsó;sajt;;
42;0;betűs;5;bomba;görög;kölyök;fűszer;körte;;;
43;0;katolikus;5;iskola;harang;templom;szakács;lovag;;;
44;0;meghalad;4;stadion;szám;autó;homok;;;;
45;0;közlekedik;5;motor;vonal;hajó;szakasz;hold;;;
46;0;emészt;6;lyuk;féreg;kesztyű;kard;szikra;szemét;;
47;0;aktivál;3;lámpa;bomba;kártya;;;;;
48;0;jégkorongozó;7;stadion;pálya;bika;csokoládé;pilóta;cipő;kormány;
49;0;félsziget;5;árnyék;part;görög;fűszer;hideg;;;
50;0;veterán;4;pilóta;kölyök;kesztyű;autó;;;;
51;0;galaxis;5;lámpa;lyuk;part;kerek;távolság;;;
52;0;birtokos;4;hatalom;kereszt;sárkány;kártya;;;;
53;0;felhatalmazás;5;vonal;torta;műhold;bíró;kormány;;;
54;0;koszorú;3;rózsa;óriás;koporsó;;;;;
55;0;felkeres;5;denevér;láda;láng;ügyvéd;ügynök;;;
56;0;identitás;5;szám;sötét;központ;gyökér;indián;;;
57;0;kirándul;4;mozi;erdő;kutya;sárkány;;;;
58;0;szovjet;6;tévé;volt;tudós;kereszt;idegen;csiga;;
59;0;felszabadul;3;méreg;lélek;csomó;;;;;
60;0;termeszt;6;csavar;hercegnő;indián;banán;park;hold;;
61;0;biztonságos;6;zebra;felhő;kard;gomb;álom;kártya;;
62;0;koncert;7;mozi;tanár;csokoládé;bomba;hotel;repül;csiga;
63;0;segélyhívó;5;telefon;figura;központ;kórház;atom;;;
64;0;hajtogat;5;törpe;fedél;béka;daru;csillag;;;
65;0;üzemelő;4;stadion;csokoládé;benzin;kaszinó;;;;
66;0;elszakad;6;alma;csavar;üveg;nadrág;gerinc;nehéz;;
67;0;nélkülözhetetlen;5;elem;kritikus;anyag;majom;vitamin;;;
68;0;gyertya;3;torta;virág;csokoládé;;;;;
69;0;megmaradt;6;oszlop;asztal;gyűrű;tégla;rakéta;sivatag;;
70;0;beszerző;5;gyöngy;asztal;szakács;zseni;hatalom;;;
71;0;megszállás;5;rendőr;műhold;levegő;volt;katona;;;
72;0;váltó;6;olaj;hullám;puska;kereszt;távolság;kaszinó;;
73;0;ruhás;6;lyuk;gyöngy;nővér;szakács;szín;cápa;;
74;0;texasi;8;gyöngy;medve;csirke;királynő;kulcs;ügyvéd;nyúl;sivatag
75;0;áztat;6;oszlop;olaj;alma;virág;tiszta;hideg;;
76;0;képviselt;5;hullám;ügyvéd;banda;követ;lovag;;;
77;0;mozzanat;6;műhold;kocka;fedél;kritikus;határ;apró;;
78;0;business;7;amazon;méreg;központ;bálna;sajt;park;koncert;
79;0;teli;3;száj;ordít;tüdő;;;;;
80;0;szépséges;4;alma;virág;szoknya;angyal;;;;
81;0;bead;5;labda;kulcs;alak;ügynök;tüdő;;;
82;0;importál;4;alma;bika;szén;szél;;;;
83;0;éber;4;másol;volt;szellem;daru;;;;
84;0;vétel;4;rendőr;szarv;puska;kenyér;;;;
85;0;feltöltött;6;amazon;motor;csatorna;tégla;mező;kártya;;
86;0;pusztul;6;fekete;háború;kutya;bálna;indián;toll;;
87;0;begyűjtés;5;csatorna;kutya;bánya;gomb;macska;;;
88;0;őrült;4;bika;fekete;tudós;béka;;;;
89;0;alapul;5;elem;levél;kard;kereszt;sajt;;;
90;0;vetít;4;csatorna;figura;autó;csillag;;;;
91;0;valódi;7;gyöngy;másol;piramis;oroszlán;arany;zseni;szén;
92;0;tiszti;3;csizma;arany;kereszt;;;;;
93;0;királynő;5;udvar;ruha;kalóz;király;tolvaj;;;
94;0;szikra;3;mozi;láng;apró;;;;;
95;0;hátrál;4;csizma;pisztoly;ajtó;cipő;;;;
96;0;passzol;5;háló;tető;ruha;szoknya;körte;;;
97;0;műfaji;4;csempész;mese;határ;forrás;;;;
98;0;képzőművész;5;amazon;kritikus;zseni;sárkány;gitár;;;
99;0;fakad;5;baba;édes;világos;szellem;gitár;;;
0;1;gyulladásos;2;csomó;tüdő;;;;;;
1;1;téli;2;gumi;hideg;;;;;;
2;1;lakik;2;fedél;harang;;;;;;
3;1;szentel;2;harang;templom;;;;;;
4;1;meghalad;2;motor;szám;;;;;;
5;1;pekingi;2;stadion;opera;;;;;;
6;1;tűzijáték;2;torta;bomba;;;;;;
7;1;keringési;2;műhold;betegség;;;;;;
8;1;érthető;2;világos;nehéz;;;;;;
9;1;útmutatás;2;boszorkány;követ;;;;;;
10;1;megesik;2;szív;könnyű;;;;;;
11;1;tengerparti;2;villa;homok;;;;;;
12;1;váró;2;gazda;macska;;;;;;
13;1;radioaktív;2;szén;atom;;;;;;
14;1;színpadi;2;figura;tánc;;;;;;
15;1;emeletes;2;torta;tégla;;;;;;
16;1;tevékenykedik;2;ügyvéd;ügynök;;;;;;
17;1;elrabol;2;sárkány;lovag;;;;;;
18;1;építés;2;torony;piramis;;;;;;
19;1;visszaél;2;könnyű;hatalom;;;;;;
20;1;dráma;2;opera;görög;;;;;;
21;1;lenti;2;négyzet;térkép;;;;;;
22;1;jutalom;2;láda;oszt;;;;;;
23;1;tartományi;2;hercegnő;kormány;;;;;;
24;1;kiált;2;boszorkány;ordít;;;;;;
25;1;kelta;2;boszorkány;kereszt;;;;;;
26;1;meghúz;2;csavar;harang;;;;;;
27;1;leül;2;tévé;szék;;;;;;
28;1;forgalmazás;2;gyöngy;mozi;;;;;;
29;1;formás;2;alak;kerek;;;;;;
30;1;varázslatos;2;cirkusz;mese;;;;;;
31;1;fizikus;2;tanár;atom;;;;;;
32;1;leégett;2;templom;láng;;;;;;
33;1;kovácsol;2;gyűrű;kard;;;;;;
34;1;dohányzó;2;asztal;tüdő;;;;;;
35;1;nyomtatott;2;forma;papír;;;;;;
